seed,label
it would be hard to think of a recent movie that has worked this hard to achieve this little fun .,0
"nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them .",0
"like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .",0
"for me , this opera is n't a favorite , so it 's a long time before the fat lady sings .",0
national lampoon 's van wilder could be the worst thing to come out of national lampoon since class reunion,0
julia is played with exasperating blandness by laura regan .,0
"suggests puns about ingredients and soup and somebody being off their noodle , but let 's just say the ingredients do n't quite add up to a meal .",1
not so much a movie as a picture book for the big screen .,1
big fat liar is just futile silliness looking to tap into the kiddie sensibilities .,1
"this film is so slick , superficial and trend-hoppy , that it 's easy to imagine that a new software program spit out the screenplay .",1
"extreme oops - oops , ops , no matter how you spell it , it 's still a mistake to go see it .",1
mckay deflates his piece of puffery with a sour cliche and heavy doses of mean-spiritedness,1
"so faithful to the doldrums of the not-quite-urban , not-quite-suburban milieu as to have viewers recoiling from the reality check .",2
"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .",2
a heavy reliance on cgi technology is beginning to creep into the series .,2
"passion , lip-synching , tragedy , and lots of really really high notes .",2
you see robert de niro singing - and dancing to - west side story show tunes .,2
the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins .,2
pray 's film works well and will appeal even to those who are n't too familiar with turntablism .,3
a quietly reflective and melancholy new zealand film about an eventful summer in a 13-year-old girl 's life .,3
"it 's the cinematic equivalent of a good page-turner , and even if it 's nonsense , its claws dig surprisingly deep .",3
evokes a little of the fear that parents have for the possible futures of their children -- and the sometimes bad choices mothers and fathers make in the interests of doing them good .,3
"the film is painfully authentic , and the performances of the young players are utterly convincing .",3
steers turns in a snappy screenplay that curls at the edges ; it 's so clever you want to hate it .,3
this is a happy throwback to the time when cartoons were cinema 's most idiosyncratic form instead of one of its most predictable .,4
"serry does a fine job of capturing the climate of the times and , perhaps unwittingly , relating it to what is happening in america in 2002 .",4
it 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post-soviet russia .,4
"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",4
"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",4
will grab your children by the imagination and amaze them and amuse them .,4
