seed,label
a horrible  99minute stink bomb ,0
but the second half of the movie really goes downhill ,0
 spy action flick with antonio banderas and lucy liu never comes together ,0
this flat run at a hiphop tootsie is so poorly paced you could fit all of pootie tang in between its punchlines ,0
would benigni s italian pinocchio have been any easier to sit through than this hastily dubbed disaster ,0
sheridan seems terrified of the book s irreverent energy  and scotches most of its élan  humor  bile  and irony ,0
unless you come in to the film with a skateboard under your arm  you re going to feel like you were nt invited to the party ,1
becomes the last thing you would expect from a film with this title or indeed from any plympton film  boring ,1
baran is shockingly devoid of your typical majid majidi shoeloving  crippled children ,1
while this one gets off with a good natured warning  future lizard endeavors will need to adhere more closely to the laws of laughter,1
the movie is too amateurishly square to make the most of its own ironic implications ,1
in other words  it s just another sports dramacharacter study ,1
a lot of its gags and observations reflect a woman s pointofview ,2
as wellacted and wellintentioned as all or nothing is  however  the film comes perilously close to being too bleak  too pessimistic and too unflinching for its own good ,2
while this gentle and affecting melodrama will have luvvies in raptures  it s far too slight and introspective to appeal to anything wider than a niche audience ,2
this heist flick about young brooklyn hoods is off the shelf after two years to capitalize on the popularity of vin diesel  seth green and barry pepper ,2
a thriller made from a completist s checklist rather than with a cultist s passion ,2
a slight and obvious effort  even for one whose target demographic is likely still in the single digits  agewise ,2
performances all around are tops  with the two leads delivering oscarcaliber performances ,3
catch it  if you can ,3
but it is entertaining on an inferior level ,3
unlike lots of hollywood fluff  this has layered  welldeveloped characters and some surprises ,3
there are plenty of scenes in frida that do work  but rarely do they involve the title character herself ,3
the structure is simple  but in its own way  rabbitproof fence is a quest story as grand as the lord of the rings ,3
the trials of henry kissinger is a remarkable piece of filmmaking  because you get it ,4
tunney  brimming with coltish  neurotic energy  holds the screen like a true star ,4
insightfully written  delicately performed,4
a compelling  gutclutching piece of advocacy cinema that carries you along in a torrent of emotion as it explores the awful complications of one terrifying day ,4
the wanton slipperiness of  corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art ,4
a beautiful  timeless and universal tale of heated passions  jealousy  betrayal  forgiveness and murder ,4
