label,text
0,what is the significance of restriction ap 80
0,can you explain what restriction ap 80 entails
0,could you shed some light on the meaning behind restriction ap 80
0,what is the interpretation of code yn
0,can you explain the meaning behind code yn
0,how would you define the significance of code yn
0,what is the significance of fare code qx
0,can you provide an explanation for the meaning of fare code qx
0,could you elucidate the definition of fare code qx
0,what does the yn code refer to
0,can you explain the purpose of the yn code
0,how can the yn code be defined
0,what does the term bur refer to
0,can you explain the meaning of bur
0,how would you define the term bur
0,what does dl stand for
0,can you explain the meaning of dl
0,could you provide some information about dl
1,what type of plane is utilized on the first class american airlines flight traveling from philadelphia to san francisco with a stopover in dallas
1,what type of aircraft is employed for the philadelphia to san francisco journey in first class with a layover in dallas on american airlines
1,on the first class american airlines flight route from philadelphia to san francisco which type of airplane is employed during the stopover in dallas
1,can you give me details on the specific aircraft deployed for a flight originating from atlanta and heading to denver scheduled to depart before noon
1,can you provide information about the kind of airplane that will be utilized for a flight departing from atlanta and bound for denver set to take off prior to midday
1,could you let me know the type of aircraft designated for a flight originating in atlanta and destined for denver with a departure time earlier than 12 oclock noon
1,which aircraft does united airlines operate
1,what types of airplanes does united utilize
1,what are the specific models of planes employed by united
1,which specific airplane does co 1209 refer to
1,can you identify the type of aircraft assigned to co 1209
1,what is the designated airplane for co 1209
1,which particular type of airplane will be traveling from philadelphia to san francisco on monday with a stop in dallas during the afternoon for a firstclass flight
1,what type of aircraft is scheduled for a firstclass flight journey from philadelphia to san francisco on monday including an afternoon layover in dallas
1,on monday there will be a firstclass flight departing from philadelphia and heading to san francisco via dallas in the afternoon can you specify the type of airplane that will be used for this trip
1,which aircraft models does delta airlines operate
1,what kinds of planes does delta employ for their flights
1,what varieties of airplanes are flown by delta
2,what is the price for a united airlines ticket from boston to oakland
2,how much does it cost to fly from boston to oakland with united airlines
2,could you tell me the fare for traveling from boston to oakland on united airlines
2,how much does it typically expense to travel from boston to san francisco on united airlines flight 21
2,what is the usual fare for a trip from boston to san francisco on united airlines flight number 21
2,what is the general expenditure involved in flying from boston to san francisco aboard united airlines flight 21
2,i require two firstclass tickets from dallas dfw to san francisco
2,im in need of a pair of firstrate tickets from dallas dfw to san francisco
2,could you assist me in securing two premium tickets for the flight from dallas dfw to san francisco
2,what is the price of a premium ticket from philadelphia to san francisco
2,how much does it cost to travel in first class from philadelphia to san francisco
2,whats the expense for a first class ticket from philadelphia to san francisco
2,can you kindly share the costs for all airfare options from philadelphia to denver airport on the upcoming sunday
2,i would appreciate it if you could furnish me with the prices of all flights departing from philadelphia and arriving at denver airport next sunday
2,could you enlighten me regarding the fares of flights operating between philadelphia and denver airport on the forthcoming sunday
2,what is the cost of first class tickets from dallas to baltimore
2,how much do first class fares from dallas to baltimore cost
2,what is the price range for first class tickets between dallas and baltimore
3,can you provide me with a list of the airlines operating between toronto and denver
3,what are the airline options for travel between toronto and denver
3,i would like to see the available airlines that fly between toronto and denver
3,what airlines provide flights between boston and san francisco
3,which airlines offer services for traveling from boston to san francisco
3,from boston to san francisco which airlines operate flights
3,are there any airlines that make a stop in denver when traveling from baltimore to san francisco
3,which airlines have layovers in denver during the journey from baltimore to san francisco
3,do any airlines include a layover in denver on the route between baltimore and san francisco
3,are there any airlines that offer a flight from atlanta to boston in the afternoon 
