chat_sample
"The conversation between Human and AI assistant. [INST] Text: ""a whimsical and enchanting narrative that takes a surprising turn"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""the screenplay is filled with an excessive amount of dialogue most of which is spoken by children"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""the trailer is a source of amusement"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""the brosnan familys entry number twenty is not only the worst of its own group but also among the worst in the entire franchise"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very negative"
"The conversation between Human and AI assistant. [INST] Text: ""the film eight legged freaks is a homage to the spiders and other lowbudget horror movies of the 1950s and 60s and it is a silly but not immature romp through the scary and gruesome conditions"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: neutral"
"The conversation between Human and AI assistant. [INST] Text: ""the trailer is a riot "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
"The conversation between Human and AI assistant. [INST] Text: ""despite the lack of reason for it the entry of a latesummer surfer girl for blue crush is as entertaining as it is"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: positive"
"The conversation between Human and AI assistant. [INST] Text: ""its so unrealistic as to be laughable"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""could you provide information about all the shooting"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""while the story includes some unexpected turns the resolution and certain elements of the backstory appear to be somewhat worn out"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""he s not good with people "". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: negative"
"The conversation between Human and AI assistant. [INST] Text: ""its de niro and murphy who have made showtime the most savory and hilarious guilty pleasure of many recent movie seasons"". Question: Is this text ""very negative"", ""negative"", ""neutral"", ""positive"" or ""very positive""? [\INST] Answer: very positive"
