seed,label
"unfortunately , the picture failed to capture me .",0
"the editing is chaotic , the photography grainy and badly focused , the writing unintentionally hilarious , the direction unfocused , the performances as wooden .",0
"the film makes a tragic error by going on for too long , trying to mirror every subsequent event in chinese history : war , revolution , communism , etc. .",0
"meandering , sub-aquatic mess : it 's so bad it 's good , but only if you slide in on a freebie .",0
"nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them .",0
"it 's badly acted , blandly directed , and could have been scripted by someone who just graduated from elementary school .",0
i tried to read the time on my watch .,1
"the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun -- toward the end , you can feel your veins cringing from the workout .",1
it 's laughing at us .,1
a benign but forgettable sci-fi diversion .,1
"it 's really yet another anemic and formulaic lethal weapon-derived buddy-cop movie , trying to pass off its lack of imagination as hip knowingness .",1
"even the imaginative gore ca n't hide the musty scent of todd farmer 's screenplay , which is a simple retread of the 1979 alien , with a plucky heroine battling a monster loose in a spaceship .",1
"this boisterous comedy serves up a cruel reminder of the fate of hundreds of thousands of chinese , one which can only qualify as a terrible tragedy .",2
"the appearance of treebeard and gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",2
it wo n't rock any boats but is solid meat-and-potatoes filmmaking .,2
those with an interest in new or singular sorts of film experiences will find what time is it there ?,2
"a gorgeous , somnolent show that is splendidly mummified and thoroughly unsurprising .",2
"` charly ' will divide its audience in two separate groups , those reaching for more tissues and those begging for mercy ...",2
"there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it 's a welcome return to the roots of a genre that should depend on surprises .",3
it helps that lil bow wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .,3
"in fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale .",3
a romantic comedy that operates by the rules of its own self-contained universe .,3
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",3
"it 's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .",3
"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",4
... as the story congeals you feel the pieces of the star wars saga falling into place in a way that makes your spine tingle with revelation and excitement .,4
the inherent strength of the material as well as the integrity of the filmmakers gives this coming-of-age story restraint as well as warmth .,4
an epic of grandeur and scale that 's been decades gone from the popcorn pushing sound stages of hollywood .,4
an enjoyably half-wit remake of the venerable italian comedy big deal on madonna street .,4
"divine secrets of the ya-ya sisterhood may not be exactly divine , but it 's definitely -- defiantly -- ya ya , what with all of those terrific songs and spirited performances .",4
