seed,label
credibility levels are low and character development a non-starter .,0
"the film makes a tragic error by going on for too long , trying to mirror every subsequent event in chinese history : war , revolution , communism , etc. .",0
watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .,0
"the unceasing sadism is so graphically excessive , the director just ends up exposing his own obsession .",0
let 's cut to the consumer-advice bottom line : stay home .,0
"like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .",0
"places a slightly believable love triangle in a difficult-to-swallow setting , and then disappointingly moves the story into the realm of an improbable thriller .",1
"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business .",1
a cumbersome and cliche-ridden movie greased with every emotional device known to man .,1
a predictable and stereotypical little b-movie .,1
"with a story as bizarre and mysterious as this , you do n't want to be worrying about whether the ineffectual broomfield is going to have the courage to knock on that door .",1
... too gory to be a comedy and too silly to be an effective horror film .,1
feels like the grittiest movie that was ever made for the lifetime cable television network .,2
boisterous and daft documentary .,2
"despite all the talking , by the time the bloody climax arrives we still do n't feel enough of an attachment to these guys to care one way or another .",2
this is an hour and a half of daydreaming .,2
"even if the ride 's a little bumpy , with a final lap that 's all too suspiciously smooth , you gotta give director roger michell , best known for the superfluous notting hill , credit for trying .",2
a subtle variation on i spit on your grave in which our purported heroine pathologically avenges a hatred for men .,2
"works because , for the most part , it avoids the stupid cliches and formulaic potholes that befall its brethren .",3
"the pianist is a fine valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .",3
-lrb- anderson -rrb- uses a hit-or-miss aesthetic that hits often enough to keep the film entertaining even if none of it makes a lick of sense .,3
"-lrb- a -rrb- hollywood sheen bedevils the film from the very beginning ... -lrb- but -rrb- lohman 's moist , deeply emotional eyes shine through this bogus veneer ...",3
"the movie is well shot and very tragic , and one to ponder after the credits roll .",3
"a miniscule little bleep on the film radar , but one that many more people should check out",3
a loving little film of considerable appeal .,4
ranks among willams ' best screen work .,4
"this is cool , slick stuff , ready to quench the thirst of an audience that misses the summer blockbusters .",4
"the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime .",4
murderous maids may well be the most comprehensive of these films and also strike closest to the truth .,4
dolgin and franco fashion a fascinating portrait of a vietnamese-born youngster who eagerly and easily assimilated as an all-american girl with a brand new name in southern tennessee .,4
